Module_ID	GO_ID	GO_desc	q-value
1	GO:0006824	cobalt ion transport	0.0242006816322
1	GO:0006829	zinc ion transport	0.0242006816322
1	GO:0035444	nickel cation transmembrane transport	0.0296220003932
1	GO:0046686	response to cadmium ion	0.0175569936837
1	GO:0070574	cadmium ion transmembrane transport	0.0175569936837
10	GO:0009242	colanic acid biosynthetic process	0.0452464080893
11	GO:0006542	glutamine biosynthetic process	0.0432157553602
11	GO:0009447	putrescine catabolic process	0.00000000000000166081574986
12	GO:0000162	tryptophan biosynthetic process	0.000000000239506239287
12	GO:0009073	aromatic amino acid family biosynthetic process	0.000000000256068495974
12	GO:0009423	chorismate biosynthetic process	0.0000151998329606
12	GO:0015827	tryptophan transport	0.00455716755015
13	GO:0009437	carnitine metabolic process	6.13258585044e-17
13	GO:0042413	carnitine catabolic process	0.000488971152185
13	GO:0055114	oxidation-reduction process	0.00577999304287
14	GO:0033212	iron assimilation	0.0242006816322
15	GO:0006559	L-phenylalanine catabolic process	0.0000369954713383
15	GO:0009435	NAD biosynthetic process	0.0382169066387
16	GO:0006631	fatty acid metabolic process	0.00817189284177
16	GO:0010124	phenylacetate catabolic process	1.1882250418e-31
17	GO:0006281	DNA repair	0.00900895005745
17	GO:0006307	DNA dealkylation involved in DNA repair	0.000000720591601692
17	GO:0042245	RNA repair	0.0382169066387
17	GO:0080111	DNA demethylation	0.0000695066431205
18	GO:0006351	transcription, DNA-templated	0.0174434397384
18	GO:0006415	translational termination	0.0382169066387
18	GO:0044010	single-species biofilm formation	0.00171268974511
18	GO:0060567	negative regulation of DNA-templated transcription, termination	0.0320669756637
18	GO:2000143	negative regulation of DNA-templated transcription, initiation	0.0320669756637
19	GO:0006535	cysteine biosynthetic process from serine	0.00418127261681
19	GO:0006790	sulfur compound metabolic process	0.00000708231268514
19	GO:0009970	cellular response to sulfate starvation	0.00224609173233
19	GO:0010438	cellular response to sulfur starvation	0.000860144708616
19	GO:0015734	taurine transport	0.000860144708616
19	GO:0042918	alkanesulfonate transport	0.0000127439219284
19	GO:0046306	alkanesulfonate catabolic process	0.000860144708616
20	GO:0006824	cobalt ion transport	0.0320669756637
20	GO:0010045	response to nickel cation	0.000100170788618
20	GO:0032025	response to cobalt ion	0.0000369954713383
20	GO:0035444	nickel cation transmembrane transport	0.0382169066387
21	GO:0022611	dormancy process	0.0242006816322
22	GO:0031669	cellular response to nutrient levels	0.0175569936837
22	GO:0034220	ion transmembrane transport	0.0345934562811
22	GO:0048870	cell motility	0.0242006816322
24	GO:0006829	zinc ion transport	0.000100170788618
25	GO:1901530	response to hypochlorite	0.000000197394081151
26	GO:0006855	drug transmembrane transport	0.000000890862993145
26	GO:0046618	drug export	0.00000708231268514
