nodeName	altName	nodeAttr.nodesPresent...
aaaD_b4634_3	aaaD_b4634_3	red
aaeA_b3241_14	aaeA_b3241_14	turquoise
aaeB_b3240_15	aaeB_b3240_15	black
aaeR_b3243_15	aaeR_b3243_15	violet
aaeX_b3242_12	aaeX_b3242_12	grey
aas_b2836_14	aas_b2836_14	darkgreen
aat_b0885_14	aat_b0885_14	brown4
abgA_b1338_14	abgA_b1338_14	black
abgB_b1337_15	abgB_b1337_15	blue
abgR_b1339_15	abgR_b1339_15	blue
abgT_b1336_15	abgT_b1336_15	blue
abrB_b0715_15	abrB_b0715_15	turquoise
accA_b0185_15	accA_b0185_15	turquoise
accB_b3255_15	accB_b3255_15	turquoise
accC_b3256_15	accC_b3256_15	turquoise
accD_b2316_14	accD_b2316_14	turquoise
aceA_b4015_15	aceA_b4015_15	brown
aceB_b4014_15	aceB_b4014_15	brown
aceE_b0114_15	aceE_b0114_15	turquoise
aceF_b0115_15	aceF_b0115_15	turquoise
aceK_b4016_15	aceK_b4016_15	brown
ackA_b2296_15	ackA_b2296_15	turquoise
acnA_b1276_15	acnA_b1276_15	brown
acnB_b0118_15	acnB_b0118_15	darkorange
acpH_b0404_14	acpH_b0404_14	blue
acpP_b1094_15	acpP_b1094_15	turquoise
acpS_b2563_15	acpS_b2563_15	turquoise
acpT_b3475_15	acpT_b3475_15	turquoise
acrA_b0463_14	acrA_b0463_14	turquoise
acrB_b0462_14	acrB_b0462_14	turquoise
acrD_b2470_15	acrD_b2470_15	red
acrE_b3265_15	acrE_b3265_15	red
acrF_b3266_15	acrF_b3266_15	yellow
acrR_b0464_15	acrR_b0464_15	grey
acs_b4069_14	acs_b4069_14	darkturquoise
actP_b4067_14	actP_b4067_14	darkturquoise
ada_b2213_15	ada_b2213_15	black
add_b1623_15	add_b1623_15	turquoise
ade_b3665_15	ade_b3665_15	turquoise
adhE_b1241_15	adhE_b1241_15	royalblue
adhP_b1478_15	adhP_b1478_15	brown
adiA_b4117_14	adiA_b4117_14	yellow
