Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
DinJ-YafQ						18
FlhDC						8.1
GadE-RcsB						8.1
GatR						63
HU						8.4
HipAB						8.3
IHF						Global regulator
MazE-MazF						8.3
RcsAB						8.1
RcsB-BglJ						8.1
RelB-RelE						3
YefM-YoeB						40
accA	b0185	944895	P0ABD5	JW0180	acetyl-CoA carboxyltransferase, &alpha; subunit	8.5
accB	b3255	947758	P0ABD8	JW3223,fabE	biotin carboxyl carrier protein	8.5
accC	b3256	947761	P24182	JW3224,fabG	AccC	8.5
accD	b2316	946796	P0A9Q5	usg,dedB,JW2313	acetyl-CoA carboxyltransferase, &beta; subunit	8.5
aceA	b4015	948517	P0A9G6	JW3975,icl	isocitrate lyase monomer	Intermodular
aceB	b4014	948512	P08997	JW3974,mas	malate synthase A	Intermodular
aceE	b0114	944834	P0AFG8	JW0110	subunit of E1p component of pyruvate dehydrogenase complex	8.8
aceF	b0115	944794	P06959	JW0111	AceF	8.8
aceK	b4016	944797	P11071	JW3976	AceK	Intermodular
acnA	b1276	946724	P25516	acn,JW1268	aconitate hydratase 1	8.2
acnB	b0118	944864	P36683	JW0114,yacI,yacJ	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	Basal machinery
acpP	b1094	944805	P0A6A8	JW1080	apo-[acyl carrier protein]	Basal machinery
acpS	b2563	947037	P24224	JW2547,dpj	AcpS	Basal machinery
acrA	b0463	945112	P0AE06	lir,mtcA,JW0452	AcrAB-TolC multidrug efflux system - membrane fusion protein	Intermodular
acrB	b0462	945108	P31224	acrE,JW0451	AcrAB-TolC multidrug efflux system - permease subunit	Intermodular
acrD	b2470	945464	P24177	JW2454,yffA	AcrAD-TolC multidrug efflux system - permease subunit	26
acrR	b0464	945516	P0ACS9	JW0453,ybaH	AcrR DNA-binding transcriptional repressor	8.2
acrZ	b0762	945365	P0AAW9	JW5102,ybhT	small membrane protein that interacts with the AcrAB-TolC multidrug efflux pump	Basal machinery
acs	b4069	948572	P27550	JW4030,yfaC	acetyl-CoA synthetase (AMP-forming)	Basal machinery
actP	b4067	948575	P32705	yjcG,JW4028		Basal machinery
ada	b2213	946710	P06134	JW2201	Ada DNA-binding transcriptional dual regulator	17
add	b1623	945851	P22333	JW1615	adenosine deaminase	8.17
adeD	b3665		P31441	ade,yicP,JW3640	cryptic adenine deaminase monomer	Basal machinery
adhE	b1241	945837	P0A9Q7	JW1228,ana	AdhE	8.1
adiA	b4117	948638	P28629	JW5731,adi	Adi	8.1
adiC	b4115	948628	P60061	aniC,JW4076,yjdE,yjdD	AdiC	8.1
adiY	b4116	948627	P33234	JW4077	AdiY DNA-binding transcriptional activator	8.1
aer	b3072	945301	P50466	air,yqjJ,JW3043	aerotaxis sensor receptor, flavoprotein	8.1
agaA	b3135	947646	P42906	JW5527	predicted truncated N-acetylgalactosamine-6-phosphate deacetylase	46
agaB	b3138	947653	P42909	yraD,JW3107	galactosamine PTS permease (cryptic) - AgaB subunit	46
agaC	b3139	947652	P42910	JW3108,yraE	galactosamine PTS permease (cryptic) - AgaC subunit	46
agaD	b3140	947649	P42911	JW3109,yraF	galactosamine PTS permease (cryptic) - AgaD subunit	46
agaI	b3141	947985	P42912	JW3110,yraG	predicted galactosamine-6-phosphate isomerase	46
agaR	b3131	947636	P0ACK2	yhaW,JW3100	AgaR DNA-binding transcriptional repressor	46
agaS	b3136	947645	P42907	yraB,JW3105	putative tagatose-6-phosphate aldose/ketose isomerase	46
agaV	b3133	947648	P42904	JW3102,yhaY	<I>N</I>-acetyl-D-galactosamine PTS permease (cryptic) - AgaV subunit	46
